time,mem_usage_ram,mem_usage_swap,net_fifo_n3_receive,net_fifo_n3_transmit,net_packets_eth0_received,net_packets_eth0_sent,net_packets_eth0_multicast,io_read,io_write,pgfaults_pgfault,pgfaults_swap,mem_anon,mem_kernel_stack,mem_slab,mem_sock,mem_anon_thp,mem_file,net_events_n3_frames,net_events_n3_collisions,net_events_n3_carrier,net_drops_n3_inbound,net_drops_n3_outbound,net_packets_n3_received,net_packets_n3_sent,net_packets_n3_multicast,mem_usage_limit_available,mem_usage_limit_used,cpu_user,cpu_system,net_n3_received,net_n3_sent,mem_utilization_utilization,cpu_limit_used,net_errors_n3_inbound,net_errors_n3_outbound
2025-07-07 14:17:36,285.1602,0,0,0,0,0,0,0,-2.440092,9.397451,0,20.40625,0.46875,165.6006,0.0039062,0,293.1445,0,0,0,0,0,68989.45,0,0,226.8398,285.1602,0.6144766,0.9066378,612621.9,0,55,6.2848,0,0
2025-07-07 14:17:37,285.3906,0,0,0,0,0,0,0,-1.5599077,9.397918,0,20.40625,0.46875,165.6148,0.0039062,0,293.1445,0,0,0,0,0,69006.46,0,0,226.6094,285.3906,0.4107184,1.0926653,612775.9,0,55,5.844,0,0
2025-07-07 14:17:38,285.6641,0,0,0,0,0,0,0,0.0,9.375342,0,20.40625,0.46875,165.67027,0.0039062,0,293.1445,0,0,0,0,0,69059.67,0,0,226.3359,285.6641,0.558286,0.9636279,613248.9,0,55,6.2436,0,0
2025-07-07 14:17:39,285.9648,0,0,0,0,0,0,0,0.0,9.36988,0,20.40625,0.46875,165.70771,0.0039062,0,293.1445,0,0,0,0,0,68950.47,0,0,226.0352,285.9648,0.7582096,0.8121335,612278.9,0,55,6.3028,0,0
2025-07-07 14:17:40,286.125,0,0,0,0,0,0,0,0.0,9.381148,0,20.40625,0.46875,165.71347,0.0039062,0,293.1445,0,0,0,0,0,68781.14,0,0,225.875,286.125,0.6457779,0.8610199,610777.2,0,55,5.8544,0,0
2025-07-07 14:17:41,286.1406,0,0,0,0,0,0,0,0.0,9.420588,0,20.40625,0.46875,165.70908,0.0039062,0,293.1445,0,0,0,0,0,69096.36,0,0,225.8594,286.1406,0.3633424,1.164219,613576.5,0,55,6.2752,0,0
2025-07-07 14:17:42,286.1367,0,0,0,0,0,0,0,0.0,9.409485,0,20.40625,0.46875,165.70643,0.0039062,0,293.1445,0,0,0,0,0,69161.0,0,0,225.8633,286.1367,0.2173544,1.3347341,614149.8,0,55,6.164,0,0
2025-07-07 14:17:43,286.418,0,0,0,0,0,0,0,-2.43635,9.382101,0,20.40625,0.46875,165.70781,0.0039062,0,293.1445,0,0,0,0,0,69082.87,0,0,225.582,286.418,0.1963058,1.3267625,613454.9,0,55,6.0512,0,0
2025-07-07 14:17:44,285.0508,0,0,0,0,0,0,0,-1.5636495,3.671593,0,20.40625,0.46875,165.59302,0.0039062,0,293.1445,0,0,0,0,0,69051.32,0,0,226.9492,285.0508,0.0977627,0.5260893,613175.0,0,55,0.2136,0,0
2025-07-07 14:17:45,285.0508,0,0,0,0,0,0,0,0.0,5.730249,0,20.40625,0.46875,165.5928,0.0039062,0,293.1445,0,0,0,0,0,68966.27,0,0,226.9492,285.0508,0.0154978,0.9242517,612420.8,0,55,6.0248,0,0
